CityKey,CityName
1,Albuquerque
2,Queens
3,Austin
4,Dallas
5,Tucson
6,Louisville
7,Cleveland
8,Houston
9,Cape Coral
10,Minneapolis
11,Memphis
12,Mesa
13,Palm Bay
14,Columbia
15,Seattle
16,Hartford
17,Charlotte
18,Akron
19,San Francisco
20,Cincinnati
21,Spokane
22,New York
23,Indianapolis
24,Virginia Beach
25,Baltimore
26,Providence
27,Buffalo
28,San Antonio
29,Bronx
30,Tulsa
31,Toledo
32,Harrisburg
33,Portland
34,Ogden
35,San Juan
36,Grand Rapids
37,Wichita
38,Las Vegas
39,St. Louis
40,Albany
41,Knoxville
42,San Diego
43,San Jose
44,Boise
45,Kansas City
46,Los Angeles
47,Staten Island
48,Chicago
49,Atlanta
50,Omaha
51,Salt Lake City
52,New Orleans
53,Denver
54,Pittsburgh
55,Des Moines
56,Madison
57,Fort Worth
58,El Paso
59,Concord
60,Washington
61,Boston
62,Detroit
63,Oklahoma City
64,Allentown
65,Phoenix
66,Orlando
67,Sacramento
68,Port St. Lucie
69,Manhattan
70,Fresno
71,Denton
72,Little Rock
73,Jacksonville
74,Provo
75,Milwaukee
76,Tampa
77,Dayton
78,Mission Viejo
79,Riverside
80,Raleigh
81,Nashville
82,Miami
83,New Haven
84,Columbus
85,McAllen
86,Charleston
87,Birmingham
88,Colorado Springs
89,Bakersfield
90,Reno
91,Richmond
92,Rochester
93,Bridgeport
94,Springfield
95,Oakland
96,Philadelphia
97,Bonita Springs
98,Brooklyn
99,Baton Rouge
100,Long Beach
101,Worcester
