FullDate,DateKey,Day,Month,MonthName,Quarter,Year,DayOfWeek
2023-06-14 00:00:00,20230614,14,6,June,2,2023,Wednesday
2023-06-15 00:00:00,20230615,15,6,June,2,2023,Thursday
2023-06-16 00:00:00,20230616,16,6,June,2,2023,Friday
2023-06-18 00:00:00,20230618,18,6,June,2,2023,Sunday
2023-06-19 00:00:00,20230619,19,6,June,2,2023,Monday
2023-06-20 00:00:00,20230620,20,6,June,2,2023,Tuesday
2023-06-21 00:00:00,20230621,21,6,June,2,2023,Wednesday
2023-06-22 00:00:00,20230622,22,6,June,2,2023,Thursday
2023-06-23 00:00:00,20230623,23,6,June,2,2023,Friday
2023-06-24 00:00:00,20230624,24,6,June,2,2023,Saturday
2023-06-25 00:00:00,20230625,25,6,June,2,2023,Sunday
2023-06-26 00:00:00,20230626,26,6,June,2,2023,Monday
2023-06-27 00:00:00,20230627,27,6,June,2,2023,Tuesday
2023-06-28 00:00:00,20230628,28,6,June,2,2023,Wednesday
2023-06-29 00:00:00,20230629,29,6,June,2,2023,Thursday
2023-06-30 00:00:00,20230630,30,6,June,2,2023,Friday
2023-07-01 00:00:00,20230701,1,7,July,3,2023,Saturday
2023-07-02 00:00:00,20230702,2,7,July,3,2023,Sunday
2023-07-04 00:00:00,20230704,4,7,July,3,2023,Tuesday
2023-07-05 00:00:00,20230705,5,7,July,3,2023,Wednesday
2023-07-06 00:00:00,20230706,6,7,July,3,2023,Thursday
2023-07-07 00:00:00,20230707,7,7,July,3,2023,Friday
2023-07-09 00:00:00,20230709,9,7,July,3,2023,Sunday
2023-07-10 00:00:00,20230710,10,7,July,3,2023,Monday
2023-07-11 00:00:00,20230711,11,7,July,3,2023,Tuesday
2023-07-12 00:00:00,20230712,12,7,July,3,2023,Wednesday
2023-07-13 00:00:00,20230713,13,7,July,3,2023,Thursday
2023-07-14 00:00:00,20230714,14,7,July,3,2023,Friday
2023-07-15 00:00:00,20230715,15,7,July,3,2023,Saturday
2023-07-16 00:00:00,20230716,16,7,July,3,2023,Sunday
2023-07-17 00:00:00,20230717,17,7,July,3,2023,Monday
2023-07-18 00:00:00,20230718,18,7,July,3,2023,Tuesday
2023-07-19 00:00:00,20230719,19,7,July,3,2023,Wednesday
2023-07-20 00:00:00,20230720,20,7,July,3,2023,Thursday
2023-07-21 00:00:00,20230721,21,7,July,3,2023,Friday
