FactKey,ProductKey,DateKey,CityKey,Price,StockQuantity,Discount,Sales,Rating,NumReviews
1,56,20230614,21,351.66,597,0.42,498,4.0,504
2,56,20230614,21,351.66,597,0.42,498,4.0,504
3,31,20230614,12,439.80,185,0.00,128,2.7,361
4,31,20230614,12,439.80,185,0.00,128,2.7,361
5,13,20230615,19,455.14,22,0.23,301,3.3,4807
6,13,20230615,19,455.14,22,0.23,301,3.3,4807
7,84,20230616,30,76.82,211,0.13,803,3.9,4564
8,84,20230616,30,76.82,211,0.13,803,3.9,4564
9,73,20230618,64,457.39,480,0.13,1771,3.3,3986
10,73,20230618,64,457.39,480,0.13,1771,3.3,3986
11,62,20230618,25,130.86,72,0.38,1983,2.9,3049
12,62,20230618,25,130.86,72,0.38,1983,2.9,3049
13,20,20230619,58,317.48,376,0.38,920,4.5,1262
14,20,20230619,58,317.48,376,0.38,920,4.5,1262
15,93,20230620,67,252.05,677,0.25,1853,4.5,2202
16,93,20230620,67,252.05,677,0.25,1853,4.5,2202
17,70,20230620,50,231.35,684,0.06,1240,2.4,3164
18,70,20230620,50,231.35,684,0.06,1240,2.4,3164
19,69,20230620,37,447.88,323,0.09,1689,1.3,3388
20,69,20230620,37,447.88,323,0.09,1689,1.3,3388
21,89,20230620,26,139.91,86,0.08,821,2.7,81
22,89,20230620,26,139.91,86,0.08,821,2.7,81
23,41,20230620,17,156.79,161,0.40,1679,1.3,2422
24,41,20230620,17,156.79,161,0.40,1679,1.3,2422
25,48,20230620,10,490.76,600,0.46,310,3.3,356
26,48,20230620,10,490.76,600,0.46,310,3.3,356
27,83,20230621,90,202.88,83,0.43,618,2.9,1797
28,83,20230621,90,202.88,83,0.43,618,2.9,1797
29,95,20230621,45,217.24,533,0.23,1132,4.2,4402
30,95,20230621,45,217.24,533,0.23,1132,4.2,4402
31,6,20230621,27,57.94,611,0.09,1757,3.0,4646
32,6,20230621,27,57.94,611,0.09,1757,3.0,4646
33,7,20230621,4,180.68,276,0.48,675,4.7,728
34,7,20230621,4,180.68,276,0.48,675,4.7,728
35,66,20230622,60,179.81,783,0.09,949,2.6,4319
36,66,20230622,60,179.81,783,0.09,949,2.6,4319
37,10,20230622,40,356.54,804,0.25,1534,4.1,1573
38,10,20230622,40,356.54,804,0.25,1534,4.1,1573
39,55,20230622,34,269.07,377,0.14,922,4.3,3988
40,55,20230622,34,269.07,377,0.14,922,4.3,3988
41,83,20230622,24,162.97,665,0.18,1331,3.9,4662
42,83,20230622,24,162.97,665,0.18,1331,3.9,4662
43,5,20230623,1,466.07,694,0.38,216,4.4,3440
44,5,20230623,1,466.07,694,0.38,216,4.4,3440
45,46,20230624,7,16.38,882,0.37,124,1.1,619
46,46,20230624,7,16.38,882,0.37,124,1.1,619
47,23,20230625,21,49.95,92,0.21,1230,2.6,4540
48,23,20230625,21,49.95,92,0.21,1230,2.6,4540
49,38,20230625,1,12.70,135,0.02,891,1.0,1213
50,38,20230625,1,12.70,135,0.02,891,1.0,1213
51,49,20230626,30,324.40,282,0.34,480,3.8,1742
52,49,20230626,30,324.40,282,0.34,480,3.8,1742
53,75,20230626,25,198.52,645,0.29,1093,2.7,44
54,75,20230626,25,198.52,645,0.29,1093,2.7,44
55,47,20230627,65,449.86,330,0.40,1546,3.7,3823
56,47,20230627,65,449.86,330,0.40,1546,3.7,3823
57,87,20230627,25,432.85,310,0.02,707,2.9,587
58,87,20230627,25,432.85,310,0.02,707,2.9,587
59,3,20230627,9,485.10,201,0.45,269,4.1,161
60,3,20230627,9,485.10,201,0.45,269,4.1,161
61,65,20230628,45,219.94,381,0.07,452,3.9,4266
62,65,20230628,45,219.94,381,0.07,452,3.9,4266
63,7,20230628,38,415.66,102,0.04,876,2.1,4
64,7,20230628,38,415.66,102,0.04,876,2.1,4
65,57,20230629,2,400.89,75,0.28,1822,2.5,698
66,57,20230629,2,400.89,75,0.28,1822,2.5,698
67,8,20230630,51,373.08,360,0.37,386,4.1,894
68,8,20230630,51,373.08,360,0.37,386,4.1,894
69,39,20230701,88,261.06,853,0.13,1185,1.4,578
70,39,20230701,88,261.06,853,0.13,1185,1.4,578
71,100,20230701,32,404.51,84,0.48,610,4.4,392
72,100,20230701,32,404.51,84,0.48,610,4.4,392
73,38,20230701,25,161.59,249,0.36,1176,4.3,987
