ProductID,ProductName,Category,Price,DateAdded,ProductID_1,StockQuantity,Discount,ProductID_2,Sales,Rating,NumReviews,City
1,Headphones,Electronics,400.31,2023-11-10 00:00:00,1,20,0.08,1,466,1.7,3772,Albuquerque
2,Headphones,Electronics,235.03,2023-09-28 00:00:00,2,663,0.33,2,1332,2.3,2919,Queens
3,Smartwatch,Electronics,417.9,2023-10-20 00:00:00,3,459,0.31,3,252,1.8,1184,Austin
4,Smartphone,Electronics,152.7,2023-12-05 00:00:00,4,475,0.49,4,1806,3.4,2047,Dallas
5,Laptop,Electronics,394.74,2023-08-10 00:00:00,5,831,0.23,5,1508,1.8,1267,Tucson
6,Headphones,Electronics,93.56,2023-09-21 00:00:00,6,600,0.48,6,241,1.3,2435,Louisville
7,Laptop,Electronics,57.86,2024-05-08 00:00:00,7,427,0.25,7,1966,3.7,1478,Cleveland
8,Laptop,Electronics,201.62,2023-08-07 00:00:00,8,389,0.1,8,1795,1.7,3073,Houston
9,Smartphone,Electronics,485.1,2023-06-27 00:00:00,9,201,0.45,9,269,4.1,161,Cape Coral
10,Smartwatch,Electronics,170,2023-10-19 00:00:00,10,701,0.16,10,719,3.3,1275,Minneapolis
11,Laptop,Electronics,274.45,2024-01-07 00:00:00,11,187,0.27,11,1064,3.3,4859,Memphis
12,Headphones,Electronics,90.98,2024-04-10 00:00:00,12,343,0.2,12,647,1.1,2568,Mesa
13,Headphones,Electronics,107.43,2023-10-25 00:00:00,13,288,0.3,13,1513,3.8,4514,Palm Bay
14,Laptop,Electronics,66.78,2024-04-11 00:00:00,14,929,0.05,14,502,4.5,4875,Columbia
15,Smartwatch,Electronics,336.3,2024-03-03 00:00:00,15,986,0.28,15,1762,3.4,2773,Seattle
16,Headphones,Electronics,359.49,2023-11-18 00:00:00,16,766,0.13,16,794,4,502,Hartford
17,Headphones,Electronics,64.34,2024-03-08 00:00:00,17,742,0.24,17,1020,2.8,863,Palm Bay
18,Smartwatch,Electronics,454.71,2024-01-04 00:00:00,18,170,0.1,18,524,2,1678,Charlotte
19,Headphones,Electronics,151.98,2024-01-30 00:00:00,19,681,0.4,19,1976,1.6,2625,Charlotte
20,Smartwatch,Electronics,403.8,2023-10-25 00:00:00,20,330,0.16,20,1371,1.7,1981,Akron
21,Laptop,Electronics,63.93,2023-09-27 00:00:00,21,632,0.41,21,1768,1.9,4029,San Francisco
22,Headphones,Electronics,90.68,2023-12-23 00:00:00,22,676,0.35,22,1257,3.1,4413,Austin
23,Smartwatch,Electronics,472.03,2024-04-21 00:00:00,23,232,0.2,23,1853,2.3,1495,Cincinnati
24,Smartwatch,Electronics,133.37,2024-02-20 00:00:00,24,624,0.5,24,698,3,1636,Spokane
25,Laptop,Electronics,256.31,2023-11-07 00:00:00,25,637,0.07,25,1707,1.2,3474,New York
26,Smartwatch,Electronics,280.92,2023-10-01 00:00:00,26,202,0.18,26,400,3.4,3510,Indianapolis
27,Laptop,Electronics,190.21,2024-01-20 00:00:00,27,981,0.27,27,751,3.5,197,Virginia Beach
28,Smartphone,Electronics,83.85,2023-07-02 00:00:00,28,348,0.43,28,763,3,2511,Baltimore
29,Headphones,Electronics,406.66,2024-02-05 00:00:00,29,819,0.47,29,1959,2.4,1734,Providence
30,Headphones,Electronics,469,2024-01-20 00:00:00,30,297,0.13,30,1787,1.6,4061,Buffalo
31,Laptop,Electronics,491.26,2024-01-24 00:00:00,31,1,0.5,31,253,3.1,4976,San Antonio
32,Smartphone,Electronics,451.2,2023-11-17 00:00:00,32,232,0.17,32,815,3.5,2056,Bronx
33,Headphones,Electronics,429.6,2024-02-29 00:00:00,33,919,0.43,33,1648,2.6,1696,Buffalo
34,Smartwatch,Electronics,294.54,2023-07-10 00:00:00,34,152,0,34,1919,2.5,98,Tulsa
35,Laptop,Electronics,349.03,2023-09-09 00:00:00,35,160,0.01,35,397,3.6,4067,Toledo
36,Smartwatch,Electronics,375.78,2024-05-21 00:00:00,36,400,0.15,36,687,3.6,1218,Seattle
37,Laptop,Electronics,299.04,2023-10-30 00:00:00,37,437,0.45,37,26,4.9,562,Virginia Beach
38,Smartphone,Electronics,256.29,2023-08-13 00:00:00,38,480,0.1,38,1852,3.3,959,Charlotte
39,Headphones,Electronics,290.28,2024-04-27 00:00:00,39,171,0.47,39,476,4.1,16,New York
40,Smartphone,Electronics,442.91,2023-12-14 00:00:00,40,279,0.17,40,301,4,1060,Cleveland
41,Jacket,Clothing,482.17,2023-09-30 00:00:00,41,252,0.19,41,1184,4.4,190,Harrisburg
42,Jacket,Clothing,93.05,2024-02-19 00:00:00,42,322,0.29,42,1815,3.2,569,Portland
43,Sweater,Clothing,338.86,2024-02-29 00:00:00,43,489,0.44,43,784,2.4,154,Spokane
44,T-Shirt,Clothing,76.94,2024-05-30 00:00:00,44,537,0.41,44,920,3.8,2806,Ogden
45,Sweater,Clothing,260.56,2024-01-22 00:00:00,45,19,0.32,45,511,3,4780,San Juan
46,Sweater,Clothing,444.44,2024-04-22 00:00:00,46,799,0.29,46,853,1.1,4929,Grand Rapids
47,T-Shirt,Clothing,85.97,2024-03-03 00:00:00,47,681,0.41,47,1077,4.9,1715,Wichita
48,T-Shirt,Clothing,415.66,2023-06-28 00:00:00,48,102,0.04,48,876,2.1,4,Las Vegas
49,Jacket,Clothing,352.76,2024-01-17 00:00:00,49,369,0.26,49,1693,1.6,4364,St. Louis
